Unnamed: 0,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight
923,0.425,0.34,0.1,0.382,0.1639999999999999,0.096,0.1
3671,0.595,0.47,0.135,0.9365,0.434,0.184,0.287
2097,0.425,0.33,0.08,0.361,0.134,0.0825,0.125
1767,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143
3107,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068
3800,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488
4166,0.475,0.365,0.115,0.499,0.2319999999999999,0.0885,0.156
4108,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126
543,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.1169999999999999
1514,0.655,0.54,0.215,1.5555,0.695,0.296,0.444
1746,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54
2588,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295
259,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295
3963,0.27,0.205,0.075,0.118,0.059,0.031,0.0305
3480,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12
927,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125
612,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06
1023,0.64,0.5,0.175,1.394,0.4935,0.291,0.4
1340,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235
219,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105
3334,0.39,0.3,0.105,0.259,0.0955,0.038,0.085
485,0.585,0.465,0.14,0.908,0.381,0.1615,0.315
2997,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925
1417,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512
258,0.635,0.505,0.17,1.415,0.605,0.297,0.365
3074,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385
386,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215
847,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375
3570,0.58,0.47,0.165,1.041,0.54,0.166,0.2789999999999999
3469,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565
3048,0.59,0.47,0.145,0.974,0.4529999999999999,0.236,0.289
1839,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135
1788,0.545,0.415,0.2,1.358,0.5670000000000001,0.318,0.4029999999999999
1402,0.65,0.51,0.19,1.5419999999999998,0.7155,0.3735,0.375
3994,0.185,0.135,0.045,0.032,0.011,0.0065,0.01
3339,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275
2791,0.625,0.5,0.14,1.096,0.5445,0.2165,0.295
2852,0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299
1095,0.475,0.35,0.11,0.4565,0.206,0.099,0.13
3874,0.525,0.41,0.15,0.708,0.2739999999999999,0.151,0.25
3784,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175
2686,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37
507,0.585,0.455,0.225,1.055,0.3815,0.221,0.365
7,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
3250,0.435,0.35,0.125,0.4589999999999999,0.1969999999999999,0.1145,0.145
2166,0.38,0.28,0.085,0.2735,0.115,0.061,0.085
2288,0.33,0.265,0.09,0.18,0.068,0.036,0.06
3929,0.65,0.515,0.215,1.4980000000000002,0.564,0.3229999999999999,0.425
3321,0.49,0.385,0.14,0.5425,0.198,0.127,0.175
378,0.565,0.465,0.175,0.995,0.3895,0.183,0.37
2955,0.65,0.52,0.195,1.676,0.693,0.44,0.47
678,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265
3931,0.55,0.44,0.165,0.8605,0.312,0.1689999999999999,0.3
1356,0.6,0.455,0.145,0.8895,0.419,0.1715,0.2689999999999999
1011,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365
1552,0.39,0.285,0.1,0.281,0.1275,0.062,0.077
3169,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35
65,0.475,0.355,0.12,0.48,0.2339999999999999,0.1015,0.135
2181,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26
3263,0.565,0.45,0.115,0.9085,0.3979999999999999,0.1969999999999999,0.29
1936,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215
3309,0.485,0.355,0.12,0.5085,0.21,0.122,0.135
679,0.37,0.275,0.1,0.2225,0.093,0.026,0.08
3113,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175
781,0.505,0.385,0.15,0.6415,0.246,0.152,0.215
2864,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038
3859,0.57,0.44,0.19,1.018,0.447,0.207,0.265
1539,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.0579999999999999
1533,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405
2912,0.585,0.45,0.135,0.855,0.3795,0.187,0.26
3982,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515
2287,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1
883,0.66,0.53,0.17,1.3905,0.5905,0.212,0.4529999999999999
1091,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102
382,0.485,0.4,0.135,0.6629999999999999,0.313,0.1369999999999999,0.2
3020,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345
3540,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12
2596,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248
31,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46
2623,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624
1729,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353
3056,0.615,0.485,0.215,0.9615,0.422,0.176,0.29
610,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515
570,0.45,0.35,0.14,0.474,0.21,0.109,0.1275
343,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17
4094,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555
2281,0.485,0.415,0.14,0.5705,0.25,0.134,0.185
3278,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22
3652,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225
3345,0.48,0.38,0.145,0.59,0.2319999999999999,0.141,0.23
2656,0.545,0.42,0.12,0.7865,0.4029999999999999,0.185,0.17
1192,0.7,0.565,0.18,1.751,0.895,0.3355,0.446
1627,0.57,0.45,0.14,0.795,0.3385,0.148,0.245
2880,0.475,0.375,0.11,0.494,0.211,0.109,0.1545
1135,0.57,0.44,0.15,0.755,0.3425,0.16,0.2239999999999999
4007,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515
3441,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126
841,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214
2678,0.615,0.45,0.15,1.198,0.7070000000000001,0.2095,0.2505
3719,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067
965,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19
528,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26
176,0.315,0.21,0.06,0.125,0.06,0.0375,0.035
422,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2
3083,0.225,0.17,0.05,0.0515,0.019,0.012,0.017
3488,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535
2778,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225
572,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415
2452,0.395,0.305,0.105,0.282,0.0975,0.065,0.096
288,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19
1366,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286
1411,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725
2800,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875
3730,0.515,0.37,0.115,0.6145,0.3415,0.155,0.146
1732,0.665,0.52,0.175,1.3725,0.606,0.32,0.395
2580,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195
2285,0.42,0.33,0.1,0.352,0.1635,0.089,0.1
2764,0.55,0.465,0.15,0.936,0.481,0.174,0.2435
1299,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.1889999999999999
1557,0.425,0.325,0.11,0.317,0.135,0.048,0.09
1960,0.65,0.51,0.185,1.375,0.531,0.384,0.3985
383,0.47,0.375,0.12,0.5565,0.226,0.122,0.195
3451,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25
370,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415
2053,0.46,0.345,0.11,0.4595,0.235,0.0885,0.1159999999999999
2902,0.56,0.435,0.13,0.777,0.354,0.173,0.222
3865,0.525,0.395,0.165,0.782,0.285,0.1405,0.285
1105,0.51,0.4,0.125,0.545,0.261,0.115,0.1385
1566,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147
1373,0.615,0.475,0.17,1.129,0.4795,0.302,0.3
4156,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146
141,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665
3580,0.62,0.48,0.165,1.043,0.4835,0.221,0.31
491,0.58,0.46,0.13,0.921,0.357,0.181,0.29
198,0.56,0.45,0.16,0.922,0.4320000000000001,0.178,0.26
2646,0.495,0.38,0.12,0.512,0.233,0.1205,0.136
1171,0.625,0.48,0.185,1.2065,0.5870000000000001,0.29,0.286
1226,0.35,0.27,0.075,0.215,0.1,0.036,0.065
1586,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275
3135,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185
3432,0.36,0.27,0.09,0.2189999999999999,0.0969999999999999,0.0405,0.065
1650,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26
195,0.5,0.405,0.155,0.772,0.346,0.1535,0.245
874,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381
2882,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755
4018,0.66,0.485,0.155,1.2275,0.61,0.2739999999999999,0.3
840,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775
581,0.55,0.425,0.15,0.8059999999999999,0.376,0.171,0.245
3198,0.45,0.335,0.14,0.478,0.1865,0.115,0.16
1261,0.45,0.33,0.105,0.4479999999999999,0.208,0.089,0.12
905,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425
631,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405
3378,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057
